Test1
15, 15, 8.79, 11.3, 6.4, 8.4, 1
7, 7, 1.55, 1.2, 1.56, 1.6, 1
1, 1, 3.09, 2.9, 6.23, 6.7, 1
30, 10, 9.55, 11, 3.73, 4.5, 1
14, 25, 1.55, 1.4, 0.68, 1, 1
4, 4, 4.36, 4, 2.3, 2.5, 1
16, 16, 4.29, 4.5, 3.66, 3.15, 1
25, 25, 0.45, 0.3, 1.32, 1.1, 1
13, 13, 8.69, 8.3, 1.63, 2.5, 1
10, 10, 3.33, 3.8, 1.29, 1.4, 1
19, 7, 6.22, 7.4, 12.43, 10, 1
5, 20, 1.99, 1.5, 11.34, 11.2, 1
13, 29, 10.27, 9.2, 3.45, 4.5, 1
9, 9, 7.62, 6, 5.01, 4.7, 1
9, 12, 2.51, 1.5, 1.66, 2, 0
0, 0, 5.05, 0, 16.9, 0, 0
16, 16, 10.99, 12.5, 10.63, 7.2, 1
12, 12, 2.85, 2.4, 3.18, 3.3, 1
11, 11, 4.6, 4.2, 0.37, 0.5, 1
10, 10, 5.46, 6.6, 2.2, 2.3, 1
13, 13, 7.04, 6.7, 1.63, 2.3, 1
0, 0, 25.96, 22, 2.44, 5.5, 1
16, 16, 3.26, 3, 2.57, 2.2, 1
50, 25, 0.45, 0.7, 0.37, 0.4, 1
30, 10, 10.37, 11, 1.66, 2, 1
19, 19, 2.06, 1.8, 6.81, 6.5, 1
9, 14, 12.43, 10.5, 7.21, 5.3, 1
14, 16, 9.03, 10.5, 13.88, 9.8, 1
8, 11, 5.53, 5, 0.95, 6, 1
39, 0, 10.17, 0, 2.71, 0, 0
13, 4, 10.89, 9.2, 4.64, 5.8, 1
13, 4, 6.35, 5.6, 2.98, 3.4, 1
5, 15, 4.09, 2.8, 10.84, 9.9, 1
Test2
12, 5, 3.05, 2.5, 5.31, 5.4, 1
18, 1, 1.96, 2.1, 3.8, 3.3, 1
3, 3, 0.61, 0.2, 7.37, 7.5, 1
3, 3, 0.29, 1.5, 12.67, 14, 1
9, 0, 10.97, 0, 8.36, 0, 0
0, 8, 16.55, 11.9, 7.78, 11.4, 1
13, 13, 12.86, 3.9, 1.03, 1.7, 1
8, 11, 0.22, 11.8, 1.09, 1.2, 1
3, 3, 6.61, 0.8, 7.82, 11.5, 1
20, 20, 0.55, 0.6, 7.95, 8.7, 1
0, 12, 13.44, 10.1, 14.57, 11.2, 1
17, 0, 5.16, 8.8, 11.58, 15, 1
3, 1, 1.96, 0, 9.94, 0, 0
9, 9, 6.54, 5.8, 6.14, 5.5, 1
6, 6, 12.77, 13.9, 0.29, 0.2, 1
10, 10, 2.44, 3.2, 0.87, 0.6, 1
4, 18, 10.68, 8.2, 7.4, 9.8, 1
16, 8, 10.65, 12.4, 6.82, 4.7, 1
Test3
2, 2, 3.3, 3.5, 4.76, 5, 1
16, 48, 8.32, 8.6, 8.37, 5.8, 1
16, 16, 8.9, 7.5, 7.52, 5.5, 1
15, 15, 6.41, 6.8, 3.5, 3.6, 1
15, 15, 3.52, 4, 3.06, 3.5, 1
12, 5, 1.5, 1.25, 2.66, 2.5, 1
3, 3, 0.7, 0.3, 6.2, 5.7, 1
0, 0, 17.22, 7.2, 16.59, 18.5, 1
19, 19, 3.63, 3.5, 8.74, 7.4, 1
6, 6, 4.29, 4.3, 0.44, 0.4, 1
9, 9, 9.38, 14, 6.75, 0.5, 1
6, 6, 15.31, 6.7, 0.3, 5.1, 1
45, 15, 8.87, 9.8, 5.53, 6.2, 1
18, 1, 2.75, 2.1, 4.76, 5, 1
27, 9, 9.05, 7.3, 5.49, 4, 1
