1, 1, 2.34, 1.9, 5.75, 5.7, 1
3, 3, 4.76, 3.3, 9.48, 9.75, 2
18, 1, 6.74, 4, 11.73, 12.25, 3
0, 2, 10.0, 5, 14.71, 15.6, 4
18, 18, 4.98, 4, 5.09, 5.4, 1
4, 54, 8.39, 5.9, 7.41, 8.3, 2
4, 18, 12.42, 8, 9.44, 11, 3
0, 36, 16.82, 9.7, 11.06, 13.2, 4
13, 4, 6.48, 5.5, 3.28, 3.7, 1
13, 12, 10.7, 8.3, 4.87, 5.7, 2
13, 4, 14.91, 10.7, 6.23, 7.8, 3
0, 8, 19.97, 13.5, 7.26, 9.5, 4
13, 13, 7.11, 6.4, 1.59, 1.9, 1
13, 39, 11.39, 9.7, 2.25, 3, 2
13, 13, 15.35, 12.7, 2.91, 4, 3
0, 26, 19.71, 15.8, 3.28, 4.7, 4
6, 6, 7.58, 7.2, 0.26, 0.2, 1
6, 18, 10.77, 10.1, 0.33, 0.2, 2
6, 6, 14.58, 13.6, 0.37, 0.2, 3
0, 12, 17.66, 16.4, 0.33, 0.1, 4
10, 10, 6.27, 6.5, -2.14, -2.1, 1
10, 30, 9.34, 9.5, -3.02, -3.2, 2
10, 10, 11.94, 12.6, -3.61, -4.3, 3
10, 20, 14.51, 15.4, -4.24, -5.2, 4
15, 15, 4.84, 5.1, -4.02, -4, 1
15, 45, 7.33, 8.1, -5.49, -6.1, 2
15, 15, 9.16, 10.5, -6.82, -7.9, 3
15, 30, 11.06, 13.30, -7.89, -10, 4
2, 2, 3.41, 4.25, -5.75, -6, 1
2, 6, 4.91, 6, -7.74, -8.3, 2
2, 2, 6.12, 8.1, -10.1, -11.4, 3
2, 4, 7.14, 9.5, -11.54, -13.35, 4
17, 17, 1.61, 2.25, -7.19, -7, 1
51, 51, 2.16, 2.9, -9.74, -9.6, 2
17, 17, 2.78, 4.2, -12.76, -13.1, 3
17, 34, 3.3, 5, -14.79, -15.7, 4
3, 3, 0.48, 0, -8.11, -7.5, 1
3, 9, 0.51, 0, -11.1, -10.2, 2
3, 3, 0.59, 0, -14.71, -13.7, 3
0, 6, 0.66, 0, -17.74, -16.5, 4
19, 19, -2.38, -2, -7.78, -6.7, 1
19, 57, -3.22, -3.1, -11.47, -9.7, 2
19, 19, -3.88, -4.3, -15.56, -12.8, 3
0, 38, -7.84, -5, -19.25, -15.5, 4
7, 7, -4.21, -4, -6.93, -5.6, 1
7, 21, -5.75, -6, -10.58, -8.15, 2
38, 7, -6.96, -7.65, -14.71, -10.9, 3
0, 14, -8.1, -9.5, -19.21, -13.3, 4
16, 16, -5.79, -5.7, -5.27, -4, 1
7, 48, -7.99, -8.3, -8.19, -5.8, 2
7, 16, -9.89, -10.8, -11.58, -7.8, 3
0, 32, -11.65, -13.3, -16.08, -9.4, 4
8, 8, -6.59, -6.25, -2.62, -2.1, 1
8, 24, -9.86, -9.6, -4.57, -3.3, 2
16, 8, -12.35, -12.5, -6.53, -4, 3
0, 16, -16.56, -15.5, -9.55, -5.3, 4
11, 11, -7.47, -6.6, 0.11, 0, 1
11, 33, -10.66, -10.1, 0.18, 0, 2
11, 11, -14.29, -13.3, 0.11, 0, 3
0, 22, -17.44, -16.4, 0.04, 0, 4
14, 14, -7.47, -6.4, 2.69, 2.2, 1
14, 42, -11.47, -9.75, 4.61, 3.3, 2
28, 14, -15.2, -12.75, 6.75, 4.2, 3
0, 28, -19.02, -15.6, 9.62, 5.4, 4
9, 9, -6.41, -5.3, 4.76, 3.85, 1
9, 27, -10.41, -8.3, 8.11, 6, 2
0, 9, -14.36, -10.8, 11.95, 7.9, 3
0, 18, -18.65, -13.25, 16.41, 9.9, 4
12, 12, -5.06, -4, 6.75, 5.5, 1
12, 36, -8.24, -6, 10.58, 8.2, 2
0, 12, -11.28, -7.65, 14.64, 10.8, 3
0, 24, -15.42, -9.5, 19.51, 13.6, 4
5, 5, -2.56, -2.2, 6.93, 6.1, 1
5, 15, -4.32, -3.2, 11.36, 9.75, 2
10, 5, -6.37, -4.2, 15.38, 12.7, 3
0, 10, -8.57, -5.1, 19.47, 15.7, 4
20, 20, 0.0, 0, 6.9, 6.7, 1
20, 60, 0.22, 0, 10.8, 10.2, 2
20, 20, 0.51, 0, 14.49, 13.5, 3
0, 40, 0.62, 0, 17.55, 16.35, 4
0, 2, 6.3, 2.9, 16.45, 16.6, D1
0, 2, 14.4, 7.5, 13.28, 15, D2
0, 2, 5.72, 2.8, 15.78, 15.8, D3
0, 2, 13.34, 7.2, 12.8, 14.4, D4
0, 36, 19.27, 11.8, 9.51, 11.8, D2
4, 36, 18.32, 11.2, 9.18, 11.5, D4
0, 8, 20.74, 14.9, 5.64, 7.9, D2
0, 8, 19.45, 14.1, 5.46, 7.5, D4
0, 26, 19.42, 16.5, 1.73, 3, D2
6, 26, 18.47, 15.9, 1.66, 2.5, D4
0, 12, 16.67, 16.6, -2.14, -2.5, D2
0, 12, 16.01, 15.8, -2.1, -2.2, D4
0, 20, 13.15, 14.9, -6.01, -7.5, D2
10, 20, 12.68, 14.3, -5.83, -7.4, D4
0, 30, 9.31, 11.9, -9.77, -11.9, D2
0, 30, 9.01, 11.4, -9.48, -11.3, D4
